caminho,especializacao,nome,custo_pe,tipo_acao,conjuracao,efeito_resumo,aprimoramento_a,aprimoramento_b
Combatente,Guardião,Vanguarda,—,—,Não,"Evolui Perito com Equip. Defensivos: Aptidão em Bloqueio após falhar com Escudo; Postura Defensiva vira Acelerada; usa Bloqueio contra dano em área",Perito em Bloqueio: Aptidão vira Aprimorada,O Protetor: usa Proteger 2x/rodada sem custo extra
Combatente,Guardião,Conectar Energias,2,Ação Ativa,Sim,"Foco: inimigos a 3m não se afastam sem Espírito Dif.10; perdem Aptidão/Prioridade contra você",Energia Pesada: Inaptidão no teste,Forçar Oponentes: +2 Dif.
Combatente,Guardião,Presença do Mártir,—,Redução,Não,"Redireciona metade do dano de aliado a 3m para si (Dano Imaterial); Teste de Destino reduz esse dano pela metade",Mártir Inquebrável: -2 Dif. do Teste de Destino,Resistência Inabalável: -2 Dif. do Teste de Destino
Combatente,Guardião,Corrente Mística,3,Ação Ativa,Sim,"Puxa inimigo a 6m (Vigor Dif.10) e ataca; acerto aplica Atordoado",Técnica do Guardião: Inaptidão no teste de Vigor,Corrente Fortificada: +2 Dif.
Combatente,Guardião,Inquebrável,3,Ação Rápida,Sim,Impede reduzir PV abaixo de 1 no turno e ignora deslocamento/Fratura (exceto Queda),Corpo Imbatível: usa 2x na rodada,Último a Cair: ganha PVT = PE máximo ao evitar Incapacitar
Combatente,Guardião,Bastião Eterno,—,—,Não,Regenera 2x Vigor em PV no início do turno (com 1+ PV em combate),Regeneração Natural: regeneração vira 3x Vigor,A Verdadeira Defesa: reduz um Dano Físico em metade do PE máx. 1x/rodada
Combatente,Guardião,Táticas Defensivas,—,—,Não,"Bloqueio com Resultado Natural 10+: reduz próximo dano em Vigor OU regenera 1 PE",Manobra Defensiva: ativa com 8+,Tática Suprema: realiza os dois efeitos juntos
Combatente,Inquisidor,Precursor da Inquisição,—,—,Não,"Evolui Perseguidor do Véu: Aptidão vira Aprimorada; ignora 1 Conjuração/combate",Poder do Inquisidor: ignora +1 Conjuração,Ignorar o Vil: reduz Dano Mágico em metade do PE máx. 1x/rodada
Combatente,Inquisidor,Poder Escarlate,—,—,Não,"Evolui Punição Escarlate: teste de Espírito de Penitente vira Inaptidão; reduz Dano Mágico do Alvo",Peso do Penitente: Inaptidão vira Aprimorada,Energia Escarlate: remove custo de PE de Punição Escarlate
Combatente,Inquisidor,Mordaças da Expiação,4,Ação Simples,Não,"Foco 1 min: anula efeitos de Conjuração de um Alvo a 6m",Grilhões da Expiação: +2 Dif.,Duplicar Mordaças: +1 Alvo
Combatente,Inquisidor,Enfraquecer o Véu,—,—,Não,"Antes de um Alvo conjurar, força teste de Espírito ou recebe Enfraquecido (1x/turno/Alvo)",Desafiar o Véu: +2 Dif.,Punição do Juiz: falha também aplica Atordoado
Combatente,Inquisidor,Refletir Conjuração,3,Ação Rápida,Não,Redireciona Conjuração de Alvo único recebida para novo Alvo a 6m,Glória Escarlate: usa 2x na rodada,Ignorar Conjurações: também redireciona conjurações em área
Combatente,Inquisidor,Queimar o Véu,2,Ação Ativa,Não,"Alvo a 6m (Espírito Dif.10): +2 custo de PE e bloqueia redução de custo até o fim do próximo turno",Opressão Escarlate: +2 Dif.,Tarefa Comum: vira Ação Acelerada
Combatente,Inquisidor,Campeão Escarlate,—,Iniciativa,Não,"Marca inimigos com Sentença Escarlate; conjurar remove a marca e causa dano imaterial escalável ao PE gasto",Poder dos Justos: +1 categoria de dado,Veredito Final: +1 categoria de dado
Combatente,Inquisidor,Presença do Inquisidor,2,Ação Simples,Não,Reduz categoria de dado das Conjurações de dano/cura de um inimigo a 6m até o fim do próximo turno,Decreto do Inquisidor: afeta todos os inimigos a 6m,Arauto da Inquisição: vira Ação Acelerada
Combatente,Legionário Místico,Mestre Encantador,—,—,Não,"Evolui Encantamentos Rúnicos: dura até o Repouso; ganha efeito extra por tipo de equipamento",Fortalecer Armaduras e Escudos: Proteção Rúnica vira 2d6,Fortalecer Armamentos: Encantamento Elemental vira 2d6
Combatente,Legionário Místico,Combatente Místico,—,—,Não,"Evolui Ensinamentos do Templo Cinzento: +2 Feitiços Arcanos, +2m alcance de Energizar/Avanço Místico; ignora Meia Cobertura/Resistência Física",Força Mística: Avanço Místico aplica -1 no próximo teste do Alvo,Controlar Energia: remove custo de PE de Avanço Místico
Combatente,Legionário Místico,Ataque Energizado,2,Ação Simples,Sim,Próximo Dano Físico ganha Amplificar como Dano Mágico Neutro adicional,Fluxo de Combate: reduz custo após usar outra Conjuração,Preparo Eficaz: vira Ação Acelerada
Combatente,Legionário Místico,Canalizar,—,Iniciativa,Sim,"Foco: 1º Dano Físico do turno +1d4, escalando categoria de dado ao conjurar (até d20)",Segredos da Legião: Maximiza 1x/combate,Força Canalizada: deixa de ser Foco e ignora limite de Iniciativas
Combatente,Legionário Místico,Fluxo de Energia,—,—,Não,"Acerto físico 10+ regenera 1 PE; 12+ zera custo da próxima Conjuração do turno",Aperfeiçoar Regeneração: regenera PE com 8+,Moldar Energia: ganha PE Temp. ao ser alvo de Conjuração/Dano Mágico
Combatente,Legionário Místico,Poder Rúnico,1,—,Sim,"Ao acertar Ataque Físico, ganha Runa; desfazer reduz dano em 1d8 ou dá +1 num teste",Poder Escondido: remove custo de PE,Técnica Cinzenta: ganha Runa adicional
Combatente,Legionário Místico,Passos do Legionário,—,—,Sim,Teste de Destino Dif.10 ignora um ataque e teleporta 2m,Fluxo Místico: teleporta 4m e +1 no próximo teste,Técnica Sinérgica: reduz Dif. a cada falha (some ao passar)
Combatente,Legionário Místico,Relicário Cinzento,—,—,Não,"Guarda/evoca Armamento ou Escudo; acerto 10+ cria réplica espectral (dano = metade do PE máx.)",Adepto das Forças Místicas: ativa com 8+,Poder do Relicário: réplica aplica a Propriedade da arma
Combatente,Soberano,Mestre de Armas,—,—,Não,"Evolui Perito com Armamentos Corpo a Corpo: bônus com Armamentos Leves/Pesados duplos e Ciclone de Aço",Técnica Devastadora: Inaptidão no teste de Defesa do Ciclone de Aço,Armamento Favorito: +1 Dano Base num tipo de arma escolhido
Combatente,Soberano,Máquina de Combate,—,—,Não,"Evolui Adrenalina: bônus dobra (2x Brutalidade) ao ser ferido; ganha Corrida extra",Soberania de Agrenthor: ignora Resistência Física + Brutalidade ganha metade do Vigor,Frenesi: +1d20 no próximo dano ao matar um Alvo próximo
Combatente,Soberano,Titã,—,—,Não,"Na metade do PV: Ataque Extra ao ser ferido, +1 Brutalidade, +1 Tamanho, imune a Lentidão/Imóvel/deslocamento, Aptidão em Brutalidade",Obliterador: Movimentação extra + Aptidão no Ataque Extra,Força da Montanha: imune a Fratura/Caído; Aptidão vira Aprimorada
Combatente,Soberano,Impacto Destrutivo,2,Ação Rápida,Não,"Ataque físico força Vigor ou recebe Atordoado/Fratura; crítico aplica Inaptidão no teste",Peso da Montanha: Dif. escala a cada 2 Brutalidade,Técnica Brutal: vira Ação Acelerada
Combatente,Soberano,Ataques Descontrolados,—,—,Não,Ataque extra contra novo Alvo com dano reduzido pela metade (1x/turno),Peso do Gigante: ataque extra com dano total,Golpe Inesperado: novo Alvo tem Inaptidão na Defesa
Combatente,Soberano,Presença do Executor,—,Iniciativa,Não,"Inimigos a 2m no início do turno com Espírito falho usam metade de Precisão/Canalização",Maestria do Carrasco: dobra alcance + bloqueia Movimentação,Peso do Executor: +2 Dif.
Combatente,Soberano,Grito de Guerra,2,—,Não,"Ao acertar, você e aliados a 2m ganham Aptidão no próximo teste de Parâmetro",Grito Encorajador: dobra alcance + Corrida para aliados,Grito Desencorajador: inimigos no alcance recebem -1 no próximo teste
Combatente,Soberano,Sobrepujar,3,Ação Rápida,Não,Substitui teste de Espírito por Vigor; Vigor sempre tem -1 Dif.,Corpo de Aço: usa 2x na rodada,Resistência Natural: -1 Dif. adicional em Vigor
Devoto,Avatar,Conexão Divina,—,—,Não,Evolui Centelha de Édona: cada Centelha ganha efeito extra (imunidade a Inaptidão/dano dobrado por Espírito),Resguardo de Édona: dura até o próximo Repouso,Manejo do Escolhido: usa Centelha 1x extra sem custo de Ação e sem PE
Devoto,Avatar,Escolhido de Édona,—,—,Não,"Evolui Dádiva de Édona: cada plano ganha efeito extra (evitar efeito negativo / reusar Aprimoramento / +1 teste ao gastar PE)",Energias Divinas: +1 em Testes de Destino,Destino Agraciado: +1 em Testes de Destino
Devoto,Avatar,Presença do Plano Superior,5,Ação Ativa,Sim,"Foco: força inimigos a 6m a Espírito Dif.10 ou perdem uma Ação na rodada (1x/Alvo/rodada)",Poder de Édona: dobra alcance e remove status de Foco,O Verdadeiro Agraciado: vira Ação Acelerada
Devoto,Avatar,Herança Divina,2,Ação Simples,Sim,"Aplica Habilidades de Legado escolhidas em um Alvo a 6m por 10 min",Expandir as Forças Divinas: vira Ação Acelerada,Chegada dos Planos: +1 Alvo (por ponto de Espírito)
Devoto,Avatar,Desejo de Édona,—,Iniciativa,Não,"Ganha um Desejo: zera um custo de PE ou dá +Espírito num teste, usável a qualquer momento",Portador da Palavra Antiga: pode anular um dano completamente,Compartilhar O Desejo Divino: pode dar o Desejo a um Alvo a 6m
Devoto,Avatar,Decreto da Balança,—,—,Não,"Escolhe: dá Aptidão a aliado que falhou, ou Inaptidão a inimigo que passou (1x/rodada)",Maestria da Balança: usa 2x na rodada (mesmo efeito),Estender Favor Divino: efeito dura 2 testes
Devoto,Avatar,Resplendor da Ordem,3,Ação Simples,Sim,"Aliado a 6m: quem tentar atacá-lo deve passar em Espírito Dif.10 ou mudar de Alvo",Força da Ordem: +2 Dif.,Poder da Ordem: vira Ação Acelerada
Devoto,Avatar,Rancor do Caos,2,Ação Rápida,Sim,"Ao aliado ser ferido, atacante falha em Espírito Dif.10 e recebe dano imaterial = PE máximo",Força do Caos: +2 Dif.,Poder do Caos: usa 2x na rodada
Devoto,Espiritualista,Conectar as Linhas,—,—,Não,Evolui Aspecto da Grandeza: valor do bônus dobra (2x Espírito),Elevar Grandeza: efeito não pode ser removido por inimigos,Naturalidade Mística: efeito ocorre 2x na rodada
Devoto,Espiritualista,Andarilho dos Planos Espirituais,—,—,Não,"Evolui Elo Espiritual: compartilha outros Efeitos Positivos recebidos; Alvo ignora Incapacitado a 0 PV (ainda sofre Exaustão/Dado de Morte)",Presente Espiritual: regenera 1 PE em acerto 8+,Negar o Muro do Silêncio: Teste de Destino evita a Exaustão ao cair a 0 PV
Devoto,Espiritualista,Elo do Destino,2,Ação Simples,Sim,"Condição Mágica 1 min: quem ferir você recebe dano imaterial = PE máximo (1x/rodada)",Acelerar Conexão: +1 Alvo (a cada 3 Espírito),Peso do Elo: +2 Dif.
Devoto,Espiritualista,Peregrino das Almas,—,—,Não,"Exaustão máxima vira 7 (morte só no 7º); reduz efeitos de Exaustão pela metade; redireciona Efeitos Positivos de quem Incapacitar",Negar o Limbo: máximo de Exaustão vira 8,Carapaça Espiritual: remove +1 Exaustão no Repouso; reduz dano pela metade em Alvos protegidos a 0 PV
Devoto,Espiritualista,Espíritos Anciões,3,Ação Ativa,Sim,"Invoca Espíritos Anciões (qtd = Espírito+1); consome 1 para retaliar dano em aliado protegido (Espírito Dif.10)",Rasgo Espiritual: vira Ação Acelerada,Espíritos Antigos: +2 Dif.
Devoto,Espiritualista,Controle de Essência,4,Ação Rápida,Sim,"Ao ferir um Alvo, força Espírito Dif.10 ou ele realiza uma Ação Ativa controlada por você (não pode se ferir)",Reverter Gastos: sucesso do Alvo regenera 2 PE a você + Inaptidão nele,Forçar Essência: +2 Dif.
Devoto,Espiritualista,Corte Espiritual,2,Ação Rápida,Sim,"Ao ser ferido, retalia com dano imaterial (1d6 + 1d6/Espírito), metade se passar em Espírito Dif.10",Fraturar a Alma: +2 Dif.,Arauto da Determinação: usa 2x na rodada
Devoto,Espiritualista,Colecionador de Almas,—,—,Não,"Ganha Fragmentos de Alma (Repouso/mortes próximas); gasta para reduzir custo de PE ou ganhar Característica temporária Não-Vivo",Ceifeiro: mais Fragmentos por Repouso e por morte,Abraçar a Não-Vida: ganha Característica adicional do mesmo livro/dificuldade
Devoto,Oculto,Banquete de Galguroth,—,—,Não,"Evolui Poder Abissal: +1 Alvo; Foco só sai se ambos removerem",Saborear a Dor: ganha PVT = metade do dano do Poder Abissal,Graça de Galguroth: vira Ação Acelerada
Devoto,Oculto,Favor de Azharkun,—,—,Não,"Evolui Presente do Abismo: dano aplica Torpor Abissal (-1 Resultado Natural); cura aplica Sentença do Vazio (retorna metade como cura futura)",Recompensa Sombria: Teste de Destino regenera 2 PE ao usar,Graça de Azharkun: ambos os efeitos ocorrem 2x
Devoto,Oculto,Arauto de Baalshadar,4,Ação Simples,Sim,"Transformação 10 min: ganha Voar + 3 Características Abissais fixas + Resistência [Trevas]",Entregar-se às Trevas: vira Ação Acelerada,Graça de Baalshadar: Características ganham Ascensão Abissal
Devoto,Oculto,Esplendor de Zenash,—,—,Não,"Inimigos a 3m no início do turno: Espírito Dif.10 ou Lentidão + custo de PE futuro +2",Olhar o Vazio: +2 Dif.,Graça de Zenash: Inaptidão no teste
Devoto,Oculto,Templo de Yagsharaq,3,Ação Simples,Sim,"Lodo sombrio te acompanha; inimigos a 3m: Defesa Dif.10 ou 1d20 Trevas + Imóvel",Pântano Abissal: +2 Dif.,Graça de Yagsharaq: dobra alcance e -1 PE
Devoto,Oculto,Pactos Abissais,—,—,Não,"Escolhe 1 de 7 Poderes de Pacto (Azharkun/Baalshadar/Galguroth/Kherzala/Traxsaron/Yagsharaq/Zenash), cada um com efeito passivo único; converte dano Neutro em Trevas",Dádiva do Abismo: Inaptidões não anulam Aptidões + Idioma Abissal,Adaptação Abissal: esconde transformação + reusa 3º efeito do Pacto antes do Repouso
Devoto,Oculto,Decreto de Kherzala,3,Ação Ativa,Sim,"Área 3m (Espírito Dif.10): dano Trevas = PE máx. + Corrupção (1º dano do turno vira Trevas = PE máx.)",Peso da Verdade Sombria: +2 Dif.,Graça de Kherzala: vira Ação Acelerada
Devoto,Oculto,Glória de Traxsaron,—,Iniciativa,Sim,"Acerto 10+ soma metade do PE máx. como Trevas; escolhe Energia Abissal (retalia PE) ou Retribuição Abissal (retalia dano)",Revestimento Abissal: recebe ambos os efeitos,Graça de Traxsaron: retaliações ficam mais fortes
Devoto,Paladino,Campeão Sagrado,—,—,Não,"Evolui Lampejo Celestial: dano = PE máximo; dano de Luz reduz o próximo dano do Alvo em 1d8",Poder da Luz: redução vira 1d12,Duplicar Lampejo: metade do dano também atinge Alvo adicional a 6m
Devoto,Paladino,Resguardo Celeste,—,—,Não,"Evolui Bênção Radiante: dano = PE máximo; aliados podem ignorar 1 Inaptidão/rodada",Graça Radiante: ignora uma 2ª Inaptidão na rodada,Poder Sagrado: +1 Alvo (a cada 3 Espírito)
Devoto,Paladino,Abraçar a Luz,—,—,Não,"Ao cair a 0 PV, próximo Repouso vira Completo (1x/24h); converte dano Neutro em Luz; Luz pode Atordoar (Teste de Destino)",Presente de Ofir: só morre no PV máximo negativo + Idioma Celestial,Adaptação Celestial: efeito de Repouso Completo a cada 12h
Devoto,Paladino,Arauto de Ofir,4,Ação Simples,Sim,"Transformação 10 min: Voar + 3 Características Celestiais fixas + Resistência [Luz]",Entregar-se à Luz: vira Ação Acelerada,Ascensão: Características ganham Ascensão Celestial
Devoto,Paladino,Arsenal Dourado,—,Iniciativa,Não,"Transforma equipamento em Celestial: bônus de Bloqueio/testes (armadura) ou +1d12 Luz/testes (arma)",Portador da Luz: recebe os dois efeitos,Expurgo Radiante: causa dano de Luz em área ao ativar
Devoto,Paladino,Intercessão Sacra,5,Ação Rápida,Sim,Concede Imunidade total a um Alvo a 6m até o fim do turno,Santuário de Ofir: +1 Alvo (a cada 3 Espírito),Caminhante de Ofir: vira Ação Acelerada
Devoto,Paladino,Escolhido dos Arcontes,—,—,Não,"Na metade do PV, escolhe 1 de 7 bênçãos temáticas de área (buff aliados/debuff inimigos); 1x por Repouso",Suplicar: pode usar mais uma vez antes do Repouso,Deprecação de Hanuel: realiza 2 efeitos ao mesmo tempo
Devoto,Paladino,Proteção do Íntegro,3,Ação Ativa,Sim,"Foco: aliados a 3m reduzem Crítico pela metade e regeneram PV ao serem feridos (1x/rodada/Alvo)",Reflexo dos Arcontes: dobra alcance e remove status de Foco,Chegada do Protetor: vira Ação Acelerada
Devoto,Sacerdote,Renovador,—,—,Não,"Evolui Revitalizar: +1 dado a cada 3 Espírito se Alvo estiver com menos da metade do PV; Consagrar remove Fratura também",Curandeiro: +1 categoria de dado na cura,Mestre Purificador: usa Consagrar sem gastar Revitalizar (a 8m)
Devoto,Sacerdote,Resguardar o Véu,—,—,Não,Evolui Barreira Protetora: +1 categoria de dado no PVT e +1 Alvo,Barreira Fortificada: +1 categoria de dado adicional,Barreira Adicional: +1 Alvo adicional
Devoto,Sacerdote,Fortificar a Vida,2,Ação Rápida,Sim,Aplica Amplificar numa regeneração de PV vigente,Regeneração Sinérgica: reduz custo do próximo uso (até zero),Renovação Rápida: usa 2x na rodada
Devoto,Sacerdote,Energia Revigorante,3,Ação Ativa,Sim,"Regenera PE máximo em PV a um Alvo a 8m; +1 Alvo a cada 3 Canalização; remove PV Negativos (fica com 1)",Energia Pura: dobra alcance e -1 PE,Simplicidade Mística: +1 Alvo a cada 2 Canalização
Devoto,Sacerdote,Alvorecer a Esperança,—,Iniciativa,Sim,"Aliados a 8m: se Incapacitarem no combate, ganham Dádiva do Artesão",Proteger os Enfermos: concede 2 Dádivas,Alvorecer a Vida: ao Incapacitar cura aliados a 4m com 1d20 (+1d20/3 Espírito); 1x por Repouso Completo
Devoto,Sacerdote,Marca da Aurora,2,Ação Simples,Sim,"Foco 1 min: Alvo a 8m recebe cura extra = PE máximo quando você curar outro Alvo (1x/turno)",Aurora Célere: vira Ação Acelerada,Potencializar Marca: +1 Alvo
Devoto,Sacerdote,Protetor da Vida,—,Redução,Não,"Na metade do PV (1ª vez/combate): você e aliados a 8m reduzem o próximo dano pela metade",Negar a Dor: reduz os 2 próximos danos,Último Suspiro: também ativa ao chegar a 0 PV
Devoto,Sacerdote,Resguardar a Essência,5,Ação Rápida,Sim,Permite a um Alvo a 8m ignorar 1 ponto de Exaustão que receberia,Afastar a Morte: usa 2x na rodada,Salvar a Todos: -2 PE
Feiticeiro,Arcanista,Maestro das Linhas do Véu,—,—,Não,"Evolui Esfera Espiral Soberana: teste de Agilidade vira Inaptidão; explosão afeta 5m",Destino Inescapável: Inaptidão vira Aprimorada,Poder Massivo: +1 categoria de dado
Feiticeiro,Arcanista,Conhecimento Arcano,—,—,Não,"Evolui Feitiçaria: +3 Feitiços Arcanos; Controlar o Véu grátis; +1 Carga de Armadura Arcana",Maestro Arcano: perder Carga reduz custo da próxima Conjuração (acumula),Fortalecimento Arcano: +1 categoria de dado em Rajada de Energia
Feiticeiro,Arcanista,Cancelar,3,Ação Rápida,Sim,"Cancela Conjuração de Alvo a 8m (Canalização Dif.10); recursos gastos permanecem",Anulação Rápida: usa 2x na rodada,Negar o Véu: Inaptidão no teste
Feiticeiro,Arcanista,Conjuração Dupla,—,—,Não,"Foco: no Repouso, une 2 Conjurações do mesmo tipo de Ação numa Marca Arcana usável metade da Canalização vezes",Arte de Feringer: só gasta o PE da mais cara,Ajuste Arcano: usos = Canalização total (não metade)
Feiticeiro,Arcanista,Evocar Forças Místicas,—,Iniciativa,Sim,"Ganha PE Temp. = metade da Canalização; Danos Mágicos de Conjuração += metade do PE máx. no combate",Resquício de Energia: +1 Arcanismo ao consumir tudo,Soberania Mística: +1 Canalização ao consumir tudo
Feiticeiro,Arcanista,Poder Arcano,—,—,Não,"No início do turno, Arcanismo Dif.12: ganha Rajada grátis, +1 categoria de dado, ou -1 PE numa Conjuração",Magia Desperta: -2 Dif.,Elevar Poder Místico: realiza 2 efeitos ao passar
Feiticeiro,Arcanista,Preservar o Véu,1,Ação Rápida,Sim,Copia uma Conjuração de outro Alvo a 8m num Orbe Arcano reutilizável até o Repouso,Maestria Arcana: mantém até 3 Orbes,Afinidade por Conjurações Preservadas: -1 PE nas cópias
Feiticeiro,Arcanista,Viajante do Véu,—,—,Sim,"Ganha Teleporte (1 PE, move até a Movimentação) e Portal Arcano (portal místico ligado a local visitado)",Lampejo Místico: Teleporte vira Ação Acelerada,Controle de Portais: Portal Arcano custa 1 Exaustão (troca a exaustão de saída)
Feiticeiro,Artífice,Componentes Tecnomágicos (adicional),—,—,Não,"Habilidade adicional grátis: no Repouso, transforma equipamento/material em Componente Tecnomágico (máx. = Canalização+1) usado pelas outras habilidades",—,—
Feiticeiro,Artífice,Aprimoramentos Místicos,—,—,Não,"Evolui Toque do Véu: armadura/escudo retalia dano mágico ao bloquear; arma soma dano mágico extra 1x/rodada + cria prótese mística",Mestre Artífice: efeitos ocorrem 1x adicional na rodada,Toque do Feiticeiro: também aplica um Feitiço Arcano ao equipamento
Feiticeiro,Artífice,Aperfeiçoar Armamentos Mágicos,—,—,Não,"Evolui Perito com Armamentos Mágicos: Berloque dá +1 Canalização; Catalisador ganha Ataque Extra (dano reduzido); +1 Dano Base na arma favorita",Aprimorar Berloques de Energia: dano += Canalização,Aprimorar Catalisadores Místicos: dano += 2x Canalização
Feiticeiro,Artífice,Evolução Simbionte,—,Iniciativa,Não,"Requer Componente: 1 min sem redução de Movimentação, escala superfícies, Ataques Mágicos ignoram Aptidão/Prioridade/Cobertura",Estender Evolução: pode conceder a um aliado a 6m,Experimento Avançado: também ganha Voar e respira debaixo d'água
Feiticeiro,Artífice,Condensar o Véu,2,Ação Rápida,Não,Aplica Amplificar num Dano Mágico já causado,Sincronia de Energias: reduz custo após outra Conjuração (até zero),Adepto do Véu: vira Ação Acelerada
Feiticeiro,Artífice,Controle Gravitacional,3,Ação Simples,Não,"Desloca Alvos (2x Canalização) a 6m (Vigor Dif.10); aliados podem falhar de propósito",Maestria Gravitacional: +2 Dif.,Poder Gravitacional: Inaptidão no teste
Feiticeiro,Artífice,Mecanismo de Ataque,2,Ação Ativa,Não,"Foco 10min, requer Componente: cria Estrutura (Capacidade=Canalização+1) que dispara dano mágico = PE máx.; ou vira Montaria fora de combate",Aperfeiçoar Mecanismos de Ataque: +2 Dif. do disparo,Aproveitar Recursos: remove custo de PE
Feiticeiro,Artífice,Mecanismo de Defesa,2,Ação Ativa,Não,"Foco 10min, requer Componente: Estrutura pode gastar Capacidade para bônus de Defesa de aliado; ou vira sentinela (detecção) fora de combate",Criador Experiente: dobra Capacidade,Segredo do Artífice: remove custo de PE
Feiticeiro,Artífice,Criar Ajudante,1,Ação Simples,Não,"Requer Componente: cria Ajudante (Capacidade=Canalização+1) que permite conjurar à distância e estabilizar Incapacitados",Estabilizador de Emergência: vira Ação Acelerada,Aperfeiçoar Criação: Ajudante ganha Voar e escalar
Feiticeiro,Elementalista,Cineses Elementais,—,—,Não,"Evolui Moldar Elemento: dano elemental aplica Cinese; 2 Cineses diferentes combinam em 1 de 15 efeitos únicos",Aptidão Elemental: mantém uma Cinese ao combinar,Contato Elemental: remove custo de PE de Moldar Elemento
Feiticeiro,Elementalista,Conjurador Cataclísmico,—,—,Não,Evolui Campo Elemental: pode forçar Vigor Dif.10 na área para causar o dano da habilidade,Ímpeto Elemental: vira Ação Acelerada,Poder Destrutivo: +1 categoria de dado
Feiticeiro,Elementalista,Alma Dracônica,—,Transformação/Redução,Não,"Na metade do PV: Transformação com Núcleo Elemental à escolha, Evocação Mística vira dano elemental",Mestre dos Elementos: Furor não afeta aliados + Dano Mágico += Arcanismo,Despertar Dracônico: pode ativar no 1º turno (1x/Repouso)
Feiticeiro,Elementalista,Conjurador Vulcânico (Fogo+Terra),3,—,Sim,"Ganha Lança de Fogo (dano crescente) e Escamas de Pedra (Foco: reduz dano, imune a Lentidão/Fratura/Caído)",Véu Ígneo: Resistência [Fogo] + -1 PE Lança de Fogo,Véu Rígido: Resistência [Terra] + -1 PE Escamas de Pedra
Feiticeiro,Elementalista,Arauto da Voragem (Água+Trovão),3,—,Sim,"Ganha Maremoto (empurra em linha, Fratura/Caído/Atordoado) e Cortina de Raios (Foco: dano de área contínuo)",Véu Aquático: Resistência [Água] + -1 PE Maremoto,Véu Trovejante: Resistência [Trovão] + -1 PE Cortina de Raios
Feiticeiro,Elementalista,Caminhante da Nevasca (Vento+Gelo),3,—,Sim,"Ganha Parede de Vento (Foco: bloqueia ataques à distância) e Trilha Gélida (rastro de gelo que imobiliza)",Véu Tempestuoso: Resistência [Vento] + -1 PE Parede de Vento,Véu Gélido: Resistência [Gelo] + -1 PE Trilha Gélida
Feiticeiro,Elementalista,Explosão Elemental,1,Ação Rápida,Sim,"Ao ser atacado, retalia com dano elemental à escolha = PE máx. (Agilidade Dif.10)",Potencializar Explosão: +2 Dif.,Implosão Célere: usa 2x na rodada
Feiticeiro,Elementalista,Presença do Senhor dos Elementos,—,Iniciativa,Sim,"Escolhe elemento; no fim do turno dispara dano elemental crescente (Agilidade Dif.10)",Força dos Elementos: +2 Dif.,Poder dos Elementos: +1 categoria de dado
Feiticeiro,Fiandeiro de Sangue,Ensinamentos de Akratya,—,—,Não,"Evolui Explosão de Sangue: Sangramento ativa com 8 (não 6); ganha Contágio Carmesim (espalha Sangramento por PV)",Implosão Sangrenta: +1 categoria de dado,Chuva Carmesim: Inaptidão no teste de Vigor de Contágio
Feiticeiro,Fiandeiro de Sangue,Assecla dos Falsos Deuses,—,—,Não,Evolui Rituais Sangrentos: Poder Carmesim aumenta todos os Parâmetros,Espalhar Ligação: reaplica Ligação de Sangue ao matar o Alvo,Opressão Sangrenta: Inaptidão no teste de Espírito da Ligação
Feiticeiro,Fiandeiro de Sangue,Decreto Carmesim,X PV,Ação Simples,Sim,"Foco 1 min: armazena dano causado na área num orbe; libera como Dano Imaterial em área",Obliteração Carmesim: +2 Dif. do teste de Agilidade,Sacrifício Controlado: libera com Ação Rápida em vez de Ativa
Feiticeiro,Fiandeiro de Sangue,Sifão Carmesim,—,Iniciativa,Sim,"Dano imaterial em área (Vigor Dif.10); converte dano causado em Sangue Extra (usa como X PV depois)",Soberania Sangrenta: +2 Dif.,Aprimorar Mandala: Inaptidão no teste de Vigor
Feiticeiro,Fiandeiro de Sangue,Magia de Sangue,X PV,—,Sim,"1x/rodada grátis: +dano em ataque, re-rola teste, +Dif. num Alvo, ou reduz custo de PE pela metade; cura ao matar perto",Mestre do Sangue: 2 PE reduz um custo de PV pela metade,Carapaça de Sangue: ganha PVT ao gastar PV numa Conjuração
Feiticeiro,Fiandeiro de Sangue,Manipular a Carne,X PV,Ação Rápida,Sim,Reanima cadáver/Incapacitado por 1 ação: Corrida + Ataque Extra controlados por você,Reanimação Completa: dá Movimentação + Ação Simples em vez de Corrida,Controle de Corpos: Ataque Extra ganha Aptidão
Feiticeiro,Fiandeiro de Sangue,Último Flagelo,—,—,Não,"Ao Incapacitar, explode dano imaterial em área + aplica Sangramento/Envenenado (Vigor/Espírito Dif.10)",Infecção Enfraquecedora: também aplica Enfraquecido,Sangue Entrópico: +2 Dif. nos dois testes
Feiticeiro,Fiandeiro de Sangue,Tecelão de Aberrações,—,—,Não,"No Repouso, cria Aberração de Sangue (criatura aliada) a partir de cadáver, sacrificando PV/Parâmetros para fortalecê-la",Criação Única: mantém até 4 Habilidades/Características,Elevar Criatura: +1 categoria de dado no Golpe Brutal/Evocação da Aberração
Feiticeiro,Regulador,Modelador de Destinos,—,—,Não,Evolui Manipular a Fenda: escolhe dar Aptidão ou Inaptidão no teste refeito,Alterar Probabilidades: +1 Alvo (a cada 3 Canalização),Compartilhar Destino: ganha Aptidão quando aplica em inimigo (1x/rodada)
